f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.000173780082875,1,1,1,1,1,3.11487733734941E-10,1,1,1,1
0.000190546071796,1,1,1,1,1,2.51559277498437E-10,1,1,1,1
0.000208929613085,1,1,1,1,1,2.05805582023001E-10,1,1,1,1
0.000229086765277,1,1,1,1,1,1.70879607641123E-10,1,1,1,1
0.000251188643151,1,1,1,1,1,1.44235314870398E-10,1,1,1,1
0.000275422870334,1,1,1,1,1,1.23933923197471E-10,1,1,1,1
0.00030199517204,1,1,1,1,1,1.08496617892505E-10,1,1,1,1
0.000331131121483,1,1,1,1,1,9.6792398535949E-11,1,1,1,1
0.00036307805477,1,1,1,1,1,8.79524598870246E-11,1,1,1,1
0.000398107170553,1,1,1,1,1,8.13045330471165E-11,1,1,1,1
0.00043651583224,1,1,1,1,1,7.63221530742041E-11,1,1,1,1
0.000478630092323,1,1,1,1,1,7.2584985758819E-11,1,1,1,1
0.00052480746025,1,1,1,1,1,6.97472512670662E-11,1,1,1,1
0.000575439937337,1,1,1,1,1,6.75120380731802E-11,1,1,1,1
0.00063095734448,1,1,1,1,1,6.56100491245859E-11,1,1,1,1
0.000691830970919,1,1,1,1,1,6.37822720579383E-11,1,1,1,1
0.000758577575029,1,1,1,1,1,6.17675205344073E-11,1,1,1,1
0.000831763771103,1,1,1,1,1,5.92980991989157E-11,1,1,1,1
0.000912010839356,1,1,1,1,1,5.61100323617041E-11,1,1,1,1
0.001,1,1,1,1,1,5.19770446114754E-11,1,7.95150279746229E-11,6.9925557627497E-11,1
0.001096478196143,1,1,1,1,1,4.67753003659545E-11,1,8.26517982258724E-11,7.39060973573922E-11,1
0.001202264434617,1,1,1,1,1,4.05707155310072E-11,1,8.6150045976248E-11,7.81738720198626E-11,1
0.001318256738556,1,1,1,1,1,3.36885793788494E-11,1,9.00171603251279E-11,3.06815961278199E-11,1
0.001445439770746,1,1,1,1,1,2.66967207987321E-11,1,5.63748096901557E-11,1.43181359112789E-11,1
0.001584893192461,1,1,1,1,1,2.02587202248951E-11,1,3.11673311880416E-11,8.57450987687872E-12,1
0.001737800828749,1,1,1,1,1,1.49113741211971E-11,1,2.02668394554801E-11,6.14194931760054E-12,1
0.001905460717963,1,1,1,1,1,1.09025229516449E-11,1,1.4813468094533E-11,4.9734059814704E-12,1
0.002089296130854,1,1,1,1,1,8.18233789752118E-12,1,1.17733445660367E-11,4.36810523498717E-12,1
0.002290867652768,1,1,1,1,1,6.51668981356243E-12,1,9.93477737627493E-12,4.04634622066262E-12,1
