f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (NANOGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.000036307805477010174,1.,1.,1.,1.,1.,2.248394738040397e-9,1.,1.,1.,1.
0.000039810717055349776,1.,1.,1.,1.,1.,1.6288180006798496e-9,1.,1.,1.,1.
0.000043651583224016566,1.,1.,1.,1.,1.,1.1799743321099407e-9,1.,1.,1.,1.
0.000047863009232263804,1.,1.,1.,1.,1.,8.548158381459098e-10,1.,1.,1.,1.
0.00005248074602497723,1.,1.,1.,1.,1.,6.192593323945393e-10,1.,1.,1.,1.
0.000057543993733715664,1.,1.,1.,1.,1.,4.486137289986354e-10,1.,1.,1.,1.
0.00006309573444801929,1.,1.,1.,1.,1.,3.249919174699479e-10,1.,1.,1.,1.
0.00006918309709189363,1.,1.,1.,1.,1.,2.3573005901486204e-10,1.,1.,1.,1.
0.00007585775750291836,1.,1.,1.,1.,1.,1.7881953652898037e-10,1.,1.,1.,1.
0.00008317637711026709,1.,1.,1.,1.,1.,1.3564849038799645e-10,1.,1.,1.,1.
0.00009120108393559096,1.,1.,1.,1.,1.,1.0289990289489588e-10,1.,1.,1.,1.
0.0001,1.,1.,1.,1.,1.,7.805755880874858e-11,1.,1.,1.,1.
0.00010964781961431851,1.,1.,1.,1.,1.,5.921271367383838e-11,1.,1.,1.,1.
0.00012022644346174131,1.,1.,1.,1.,1.,4.49174367495977e-11,1.,1.,1.,1.
0.00013182567385564074,1.,1.,1.,1.,1.,3.407336024603656e-11,1.,1.,1.,1.
0.0001445439770745928,1.,1.,1.,1.,1.,2.58472869885342e-11,1.,1.,1.,1.
0.00015848931924611142,1.,1.,1.,1.,1.,2.0428816928744507e-11,1.,1.,1.,1.
0.00017378008287493763,1.,1.,1.,1.,1.,1.6227186088515143e-11,1.,1.,1.,1.
0.00019054607179632481,1.,1.,1.,1.,1.,1.2889712080232652e-11,1.,1.,1.,1.
0.0002089296130854041,1.,1.,1.,1.,1.,1.0238662242795443e-11,1.,1.,1.,1.
0.00022908676527677748,1.,1.,1.,1.,1.,8.132858505257857e-12,1.,1.,1.,1.
0.0002511886431509582,1.,1.,1.,1.,1.,6.4601591397438305e-12,1.,1.,1.,1.
0.0002754228703338169,1.,1.,1.,1.,1.,5.1314868055106495e-12,1.,1.,1.,1.
0.0003019951720402019,1.,1.,1.,1.,1.,4.155704995655502e-12,1.,1.,1.,1.
0.0003311311214825914,1.,1.,1.,1.,1.,3.4565648587766286e-12,1.,1.,1.,1.
0.0003630780547701018,1.,1.,1.,1.,1.,2.875045421997019e-12,1.,1.,1.,1.
0.00039810717055349773,1.,1.,1.,1.,1.,2.391358622291711e-12,1.,1.,1.,1.
0.0004365158322401656,1.,1.,1.,1.,1.,1.9890454657362497e-12,1.,1.,1.,1.
0.00047863009232263805,1.,1.,1.,1.,1.,1.6544159574754507e-12,1.,1.,1.,1.
0.0005248074602497723,1.,1.,1.,1.,1.,1.376083255762217e-12,1.,1.,1.,1.
0.0005754399373371566,1.,1.,1.,1.,1.,1.144576198164023e-12,1.,1.,1.,1.
0.000630957344480193,1.,1.,1.,1.,1.,9.520170148992655e-13,1.,1.,1.,1.
0.0006918309709189362,1.,1.,1.,1.,1.,7.918532624665208e-13,1.,1.,1.,1.
0.0007585775750291835,1.,1.,1.,1.,1.,6.586348557491064e-13,1.,1.,1.,1.
0.0008317637711026709,1.,1.,1.,1.,1.,5.478286113975402e-13,1.,1.,1.,1.
0.0009120108393559096,1.,1.,1.,1.,1.,4.759497710437842e-13,1.,1.,1.,1.
0.001,1.,1.,1.,1.,1.,4.145349212270689e-13,1.,9.986972838726943e-12,8.821073445525913e-12,1.
0.0010964781961431851,1.,1.,1.,1.,1.,3.610448231540889e-13,1.,3.0015379446496284e-12,2.363181578580816e-12,1.
0.001202264434617413,1.,1.,1.,1.,1.,3.144568953093436e-13,1.,1.6923246786856313e-12,1.0776376944520644e-12,1.
0.0013182567385564075,1.,1.,1.,1.,1.,2.7388050642506924e-13,1.,1.0478712574477139e-12,5.598726137309093e-13,1.
0.001445439770745928,1.,1.,1.,1.,1.,2.3853994909496766e-13,1.,6.858081572828877e-13,3.177503547735418e-13,1.
0.001584893192461114,1.,1.,1.,1.,1.,2.0775961041169373e-13,1.,4.691810617313238e-13,1.9593771998619251e-13,1.
0.0017378008287493763,1.,1.,1.,1.,1.,1.809510561320455e-13,1.,3.323393453192183e-13,1.3117615415830305e-13,1.
0.0019054607179632482,1.,1.,1.,1.,1.,1.5760178145511057e-13,1.,2.4222326357225757e-13,9.46078964252008e-14,1.
0.0020892961308540407,1.,1.,1.,1.,1.,1.4008308912084078e-13,1.,1.8374513589629795e-13,7.306201430614896e-14,1.
0.0022908676527677745,1.,1.,1.,1.,1.,1.2775729568866673e-13,1.,1.4362758237003777e-13,5.80352208492035e-14,1.
0.002511886431509582,1.,1.,1.,1.,1.,1.1651603847486207e-13,1.,1.140874439617084e-13,4.6416749719098184e-14,1.
0.002754228703338169,1.,1.,1.,1.,1.,1.0652797861177275e-13,1.,9.348974351525528e-14,3.8607770788685945e-14,1.
0.003019951720402019,1.,1.,1.,1.,1.,1.0173342977809309e-13,1.,7.776138162567021e-14,3.211254502506496e-14,1.
0.0033113112148259144,1.,1.,1.,1.,1.,9.996216642194141e-14,1.,6.46791000271214e-14,2.671005154975235e-14,1.
0.0036307805477010175,1.,1.,1.,1.,1.,1.019612578574517e-13,1.,5.379773215008535e-14,2.221645320336875e-14,1.
0.003981071705534978,1.,1.,1.,1.,1.,1.0721823733822607e-13,1.,4.4747004569926383e-14,1.8478840896960002e-14,1.
0.004365158322401665,1.,1.,1.,1.,1.,1.1756245947027e-13,1.,3.7218937266630423e-14,1.5370030390061715e-14,1.
0.00478630092322638,1.,1.,1.,1.,1.,1.3129979471224204e-13,1.,3.095736361732638e-14,1.2784234439200439e-14,1.
0.005248074602497723,1.,1.,1.,1.,1.,1.5075233480065798e-13,1.,2.5749213505744006e-14,1.0633463047809994e-14,1.
0.005754399373371567,1.,1.,1.,1.,1.,1.739075087326357e-13,1.,2.141726292846546e-14,8.844529324527341e-15,1.
0.00630957344480193,1.,1.,1.,1.,1.,2.090828126621651e-13,1.,1.7814103380077862e-14,7.35655906459702e-15,1.
0.006918309709189363,1.,1.,1.,1.,1.,2.513728295534964e-13,1.,1.5162453617412137e-14,6.1189193099087546e-15,1.
0.007585775750291836,1.,1.,1.,1.,1.,3.0221661280131373e-13,1.,1.3205945035163834e-14,5.089495400282657e-15,1.
0.008317637711026709,1.,1.,1.,1.,1.,3.7814923793376704e-13,1.,1.1501897296588971e-14,4.233257887148801e-15,1.
0.009120108393559097,1.,1.,1.,1.,1.,4.760616850854183e-13,1.,1.0017733760743267e-14,3.5210705442650113e-15,1.
0.01,1.,1.,1.,1.,1.,5.993261529355856e-13,8.682255028787183e-11,8.725081359481183e-15,2.9286989142163995e-15,1.
0.01096478196143185,1.,1.,1.,1.,1.,7.545069238834461e-13,2.484439124469087e-11,7.599228183512612e-15,2.4359856533129302e-15,1.
0.012022644346174132,1.,1.,1.,1.,1.,9.684637091529936e-13,1.5276285587354627e-11,6.618651059607569e-15,2.026164613351566e-15,1.
0.013182567385564075,1.,1.,1.,1.,1.,1.276683810638266e-12,1.085338946728113e-11,5.7646040875424244e-15,1.6852903196760836e-15,1.
0.01445439770745928,1.,1.,1.,1.,1.,1.6829970363797665e-12,8.186903661957754e-12,5.020760270761447e-15,1.4017634316966054e-15,1.
0.01584893192461114,1.,1.,1.,1.,1.,2.218622184178091e-12,6.389296508649644e-12,4.3728993897312515e-15,1.1659360381417895e-15,1.
0.017378008287493762,1.,1.,1.,1.,1.,2.924713644603502e-12,5.0751986168456875e-12,3.808636150997086e-15,9.697833559493225e-16,1.
0.019054607179632484,1.,1.,1.,1.,1.,3.855523470346438e-12,4.031373558194148e-12,3.31718341490893e-15,8.077699732480227e-16,1.
0.02089296130854041,1.,1.,1.,1.,1.,5.252890429210722e-12,3.3358019925103775e-12,2.889145975591852e-15,7.035382357588249e-16,1.
0.022908676527677748,1.,1.,1.,1.,1.,7.251007292165574e-12,2.774599244942235e-12,2.5163409508086424e-15,6.127561874878735e-16,1.
0.025118864315095822,1.,1.,1.,1.,1.,1.0009176368626137e-11,2.3078111312717766e-12,2.191641348069792e-15,5.3368832882223945e-16,1.
0.02754228703338169,1.,1.,1.,1.,1.,1.3816509560886563e-11,1.919553689539334e-12,1.9088398164110502e-15,4.64823102788679e-16,1.
0.030199517204020192,1.,1.,1.,1.,1.,1.9072092389583135e-11,1.5966152156452818e-12,1.6625299791524737e-15,4.0484399829935197e-16,1.
0.03311311214825914,1.,1.,1.,1.,1.,2.6326816227632988e-11,1.3280066927650242e-12,1.4480030790522462e-15,3.5260438213097693e-16,1.
0.03630780547701017,1.,1.,1.,1.,1.,3.634112285771647e-11,1.1324990577535568e-12,1.2611579599988026e-15,3.0710557849504137e-16,1.
0.039810717055349776,1.,1.,1.,1.,1.,5.082634849295613e-11,9.863654449629163e-13,1.0984226643422442e-15,2.674777771415801e-16,1.
0.04365158322401665,1.,1.,1.,1.,1.,7.346642551351114e-11,8.590883889535284e-13,9.56686147024644e-16,2.3296340501270305e-16,1.
0.0478630092322638,1.,1.,1.,1.,1.,1.061912932517715e-10,7.48234707332553e-13,8.33238801073837e-16,2.0290264355825683e-16,1.
0.05248074602497723,1.,1.,1.,1.,1.,1.5349311857305417e-10,6.516851868280977e-13,7.257206574739696e-16,1.767208148450784e-16,1.
0.057543993733715666,1.,1.,1.,1.,1.,2.21865058121313e-10,5.675940698409989e-13,6.320762691388155e-16,1.5391739531743326e-16,1.
0.0630957344480193,1.,1.,1.,1.,1.,3.206925787474027e-10,4.943537687064987e-13,5.505154164951885e-16,1.340564471823609e-16,1.
0.06918309709189363,1.,1.,1.,1.,1.,4.635418075045662e-10,4.3056413310093006e-13,4.79969144702366e-16,1.1675828449470674e-16,1.
0.07585775750291836,1.,1.,1.,1.,1.,6.700217639705531e-10,3.750056830719137e-13,4.377370625249429e-16,1.0169221462062316e-16,1.
0.08317637711026708,1.,1.,1.,1.,1.,9.684761049083782e-10,3.266162959822461e-13,3.992209458105635e-16,8.857021631656216e-17,1.
0.09120108393559097,1.,1.,1.,1.,1.,1.3998738790516759e-9,2.928964101031216e-13,3.6409382987715214e-16,7.71414335662596e-17,1.
0.1,1.,1.,1.,1.,1.,2.023433378809668e-9,2.671247008224807e-13,3.320575193905693e-16,6.718737991322795e-17,1.
0.10964781961431873,1.,1.,1.,1.,1.,3.002429121383974e-9,2.4362062260980637e-13,3.0284005697383377e-16,5.851776160896791e-17,1.
0.12022644346174131,1.,1.,1.,1.,1.,4.544360369303117e-9,2.2218464851077927e-13,2.761934145512982e-16,5.0966839727140946e-17,1.
0.131825673855641,1.,1.,1.,1.,1.,6.878167753906517e-9,2.0263480778031315e-13,2.549795356046206e-16,4.439026169746673e-17,1.
0.1445439770745928,1.,1.,1.,1.,1.,1.0410528172556324e-8,1.848051411264472e-13,2.435035660896016e-16,3.9825240964212074e-17,1.
0.1584893192461111,1.,1.,1.,1.,1.,1.5756972017734538e-8,1.6854429187601877e-13,2.4224862667976505e-16,3.632105143932248e-17,1.
0.17378008287493762,1.,1.,1.,1.,1.,2.38491422387369e-8,1.5410236095231488e-13,2.483822006660371e-16,3.3480669969016015e-17,1.
0.19054607179632443,1.,1.,1.,1.,1.,3.609713750099502e-8,1.4716661219786007e-13,2.600880931451144e-16,3.1973791595440865e-17,1.
0.2089296130854041,1.,1.,1.,1.,1.,5.463522850098001e-8,1.4054302355884804e-13,2.8363537044703437e-16,3.180860351711276e-17,1.
0.22908676527677702,1.,1.,1.,1.,1.,8.269376465854009e-8,1.3421754551573604e-13,3.1099999935016767e-16,3.242512612344096e-17,1.
0.25118864315095824,1.,1.,1.,1.,1.,1.2516207767447114e-7,1.2820689423839102e-13,3.50639760684357e-16,3.395327523800606e-17,1.
0.27542287033381635,1.,1.,1.,1.,1.,1.8944047054184054e-7,1.2820689423839102e-13,4.0258831107054367e-16,3.6856836866684105e-17,1.
0.30199517204020193,1.,1.,1.,1.,1.,2.904182774849713e-7,1.2820689423839102e-13,4.622332273279597e-16,4.041271800312551e-17,1.
